Department,ATC5,Order_number,Order_name,Strength,Type_of_Medicine,Package_size,Cost,Number_of_Packages,Cost_w1,Number_of_Packages_w1,Cost_w2,Number_of_Packages_w2,Cost_w3,Number_of_Packages_w3,Cost_w4,Number_of_Packages_w4,Cost_w5,Number_of_Packages_w5,Cost_w6,Number_of_Packages_w6,Cost_w7,Number_of_Packages_w7,Cost_w8,Number_of_Packages_w8,Cost_w9,Number_of_Packages_w9,Cost_w10,Number_of_Packages_w10,Cost_w11,Number_of_Packages_w11,Cost_w12,Number_of_Packages_w12,Cost_w13,Number_of_Packages_w13,Cost_w14,Number_of_Packages_w14,Cost_w15,Number_of_Packages_w15,Cost_w16,Number_of_Packages_w16,Cost_w17,Number_of_Packages_w17,Cost_w18,Number_of_Packages_w18,Cost_w19,Number_of_Packages_w19,Cost_w20,Number_of_Packages_w20,Cost_w21,Number_of_Packages_w21,Cost_w22,Number_of_Packages_w22,Cost_w23,Number_of_Packages_w23,Cost_w24,Number_of_Packages_w24,Cost_w25,Number_of_Packages_w25,Cost_w26,Number_of_Packages_w26,Cost_w27,Number_of_Packages_w27,Cost_w28,Number_of_Packages_w28,Cost_w29,Number_of_Packages_w29,Cost_w30,Number_of_Packages_w30,Cost_w31,Number_of_Packages_w31,Cost_w32,Number_of_Packages_w32,Cost_w33,Number_of_Packages_w33,Cost_w34,Number_of_Packages_w34,Cost_w35,Number_of_Packages_w35,Cost_w36,Number_of_Packages_w36,Cost_w37,Number_of_Packages_w37,Cost_w38,Number_of_Packages_w38,Cost_w39,Number_of_Packages_w39,Cost_w40,Number_of_Packages_w40,Cost_w41,Number_of_Packages_w41,Cost_w42,Number_of_Packages_w42,Cost_w43,Number_of_Packages_w43,Cost_w44,Number_of_Packages_w44,Cost_w45,Number_of_Packages_w45,Cost_w46,Number_of_Packages_w46,Cost_w47,Number_of_Packages_w47,Cost_w48,Number_of_Packages_w48,Cost_w49,Number_of_Packages_w49,Cost_w50,Number_of_Packages_w50,Cost_w51,Number_of_Packages_w51,Cost_w52,Number_of_Packages_w52,Portionsize,Quantity
"AHOC, The Department of Anesthesiology",C01DA**,871280,Nitro-Bid (ls),2%,salve,30 g,11927.88,12.0,,,,,,,,,,,,,2981.97,3.0,,,,,,,,,,,,,,,,,,,993.99,1.0,,,993.99,1.0,,,,,993.99,1.0,993.99,1.0,993.99,1.0,993.99,1.0,,,,,,,,,,,,,,,,,,,,,,,,,1987.98,2.0,,,,,,,,,,,,,,,,,993.99,1.0,,,,,,,,,,,30.0,1.0
"AHOC, The Department of Anesthesiology",C01EB10,575506,Adenocor,3 mg/ml,"inj.væske, opløsning",6 x 2 ml,641.88,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,641.88,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,6.0
"AHOC, The Department of Anesthesiology",C01AA05,749905,Digoxin SAD,250 mikrog/ml,injektionsvæske,1 ml ampx10,180.85,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,180.85,1.0,,,,,,,,,,,,,,,,,,,1.0,10.0
"AHOC, The Department of Anesthesiology",C02AC01,872024,Clonidin-Ratiopharm (ls),150 mikg/ml,injektionsvæske,5 x 1 ml,1847.56,52.0,,,,,142.12,4.0,,,,,,,71.06,2.0,71.06,2.0,,,71.06,2.0,,,,,106.59,3.0,177.65,5.0,,,,,,,35.53,1.0,,,71.06,2.0,,,35.53,1.0,106.59,3.0,71.06,2.0,,,71.06,2.0,71.06,2.0,,,106.59,3.0,,,,,,,,,,,,,35.53,1.0,,,35.53,1.0,106.59,3.0,,,,,71.06,2.0,,,35.53,1.0,142.12,4.0,,,,,35.53,1.0,,,177.65,5.0,,,,,1.0,5.0
"AHOC, The Department of Anesthesiology",D06AX01,431023,Fucidin,2%,salve,15 g,632.48,16.0,,,,,,,,,,,,,,,,,,,,,,,197.65,5.0,,,,,,,,,,,,,,,,,197.65,5.0,,,,,,,118.59,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,118.59,3.0,,,15.0,1.0
"AHOC, The Department of Anesthesiology",G04BE02,911028,Papaverin,20 mg/ml,injektionsvæske,10 x 3 ml,410.53,1.0,,,,,,,,,,,,,,,,,410.53,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,10.0
"AHOC, The Department of Anesthesiology",H02AB02,517803,Dexavit,4 mg/ml,"inj.-/inf.vsk.,opl.",3 x 1 ml,39989.53,1456.0,689.78,26.0,795.9,30.0,530.6,20.0,795.9,30.0,530.6,20.0,795.9,30.0,530.6,20.0,795.9,30.0,477.54,18.0,1167.32,44.0,928.55,35.0,1804.04,68.0,557.13,21.0,,,397.95,15.0,795.9,30.0,795.9,30.0,795.9,30.0,795.9,30.0,848.96,32.0,530.6,20.0,1061.2,40.0,795.9,30.0,1326.5,50.0,530.6,20.0,185.71,7.0,928.55,35.0,1591.8,60.0,,,397.95,15.0,530.6,20.0,265.3,10.0,795.9,30.0,,,1061.2,40.0,1061.2,40.0,530.6,20.0,795.9,30.0,1326.5,50.0,530.6,20.0,1061.2,40.0,663.25,25.0,928.55,35.0,1591.8,60.0,928.55,35.0,928.55,35.0,,,1459.15,55.0,530.6,20.0,530.6,20.0,2290.4,35.0,,,1.0,3.0
"AHOC, The Department of Anesthesiology",H02AB08,562056,Triamcinolonacetonid Paranova,40 mg/ml,"inj.væske,suspension",5 x 1 ml,365.16,2.0,,,,,,,,,,,,,,,,,,,,,,,,,365.16,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,5.0
"AHOC, The Department of Anesthesiology",J01CE01,505503,Benzylpenicillin Panpharma,"0,6 g","pul.t.inj.+inf.,opl.","10 x 0,6 g (1 mill. IE)",163.32,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,163.32,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,10.0
"AHOC, The Department of Anesthesiology",J01CF01,41830,Dicillin,500 mg,"kapsler, hårde",30 stk. (blister),29.95,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.95,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,30.0
"AHOC, The Department of Anesthesiology",J01CF02,551489,Cloxacillin Macure,1 g,"pul.t.inj.+inf.,opl.",10 x 1 g,1413.5,4.0,,,,,,,,,,,,,,,,,,,,,,,,,700.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,713.5,2.0,,,,,,,,,,,,,,,1.0,10.0
"AHOC, The Department of Anesthesiology",J01DC02,79017,Cefuroxim Fresenius Kabi,750 mg,"pul.t.inj.+inf.,opl.",10 x 750 mg,452.1,11.0,,,,,,,36.9,1.0,,,,,,,36.9,1.0,,,,,36.9,1.0,36.9,1.0,,,,,,,,,,,,,73.8,2.0,,,,,,,,,,,,,,,36.9,1.0,,,73.8,2.0,,,,,,,,,,,,,,,,,,,,,,,,,60.0,1.0,,,60.0,1.0,,,,,,,,,,,,,,,,,750.0,10.0
"AHOC, The Department of Anesthesiology",J01DC02,133174,Cefuroxim Stragen,750 mg,"pul.t.inj.+inf.,opl.",10 stk.,80.4,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.4,2.0,,,,,,,,,0.0,10.0
"AHOC, The Department of Anesthesiology",J01DC02,472699,Cefuroxim B. Braun,"1,5 g",pulv.og sol.t.inf.op,24 x 50 ml,96902.04,58.0,1560.38,1.0,,,,,1560.38,1.0,1560.38,1.0,3120.76,2.0,,,1560.38,1.0,3120.76,2.0,1560.38,1.0,4681.14,3.0,4681.14,3.0,,,,,1560.38,1.0,3120.76,2.0,1720.38,1.0,3440.76,2.0,,,,,3440.76,2.0,1720.38,1.0,5161.14,3.0,,,,,3440.76,2.0,3440.76,2.0,1720.38,1.0,3440.76,2.0,,,,,1720.38,1.0,3440.76,2.0,,,1720.38,1.0,1720.38,1.0,1720.38,1.0,5161.14,3.0,,,,,3440.76,2.0,1720.38,1.0,1720.38,1.0,3440.76,2.0,5161.14,3.0,,,1720.38,1.0,5161.14,3.0,,,,,1720.38,1.0,1720.38,1.0,50.0,24.0
"AHOC, The Department of Anesthesiology",J01GB03,586223,Gentamicin B. Braun,3 mg/ml,"inf.væske, opløsning",10 x 80 ml,4053.0,8.0,,,508.02,1.0,,,,,,,,,,,508.02,1.0,,,,,,,,,506.16,1.0,,,,,,,,,,,,,506.16,1.0,,,,,506.16,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,506.16,1.0,,,,,,,,,506.16,1.0,,,,,,,,,506.16,1.0,,,,,,,,,,,80.0,10.0
"AHOC, The Department of Anesthesiology",J01XD01,193605,Metronidazol Baxter Viaflo,5 mg/ml,"inf.væske, opløsning",60 x 100 ml,1117.8,6.0,,,,,,,,,372.6,2.0,,,,,,,,,,,,,,,,,,,,,186.3,1.0,,,,,,,,,,,,,,,,,,,186.3,1.0,,,,,,,,,,,,,,,,,,,,,,,186.3,1.0,,,,,,,,,,,,,,,,,,,,,,,,,186.3,1.0,,,100.0,60.0
"AHOC, The Department of Anesthesiology",M01AB15,140416,Ketorolac trometamol S.A.L.F.,30 mg/ml,"inj.væske, opløsning",5 x 1 ml,514.03,11.0,,,,,,,,,140.19,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,140.19,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93.46,2.0,,,,,,,,,46.73,1.0,,,,,93.46,2.0,,,,,,,,,1.0,5.0
"AHOC, The Department of Anesthesiology",M01AE01,71319,Ibuprofen Orifarm,200 mg,filmovertrukne tabl.,250 stk.,86.95,1.0,86.95,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,250.0
"AHOC, The Department of Anesthesiology",M01AE01,546281,Ibuprofen Teva,200 mg,filmovertrukne tabl.,100 stk. (blister),46.75,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.25,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,16.25,1.0,,,,,,,,,,,,,16.25,1.0,,,,,,,,,,,,,,,0.0,100.0
"AHOC, The Department of Anesthesiology",M01AE01,857474,Ib-u-ron (ls),150 mg,suppositorier,10 stk.,371.07,9.0,,,,,,,,,,,,,,,,,,,164.92,4.0,,,,,82.46,2.0,,,,,,,,,,,,,,,,,,,41.23,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82.46,2.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,10.0
"AHOC, The Department of Anesthesiology",M01AE01,857486,Ib-u-ron (ls),75 mg,suppositorier,10 stk.,358.7,9.0,,,,,,,,,,,,,,,,,,,159.48,4.0,,,,,79.74,2.0,,,,,,,,,,,,,,,,,,,39.87,1.0,,,39.87,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.74,1.0,,,0.0,10.0
"AHOC, The Department of Anesthesiology",M03AB01,741967,Suxameton SAD,50 mg/ml,injektionsvæske,2 ml amp x10,11444.91,67.0,338.36,2.0,,,,,341.74,2.0,341.74,2.0,683.48,4.0,341.74,2.0,,,,,341.74,2.0,170.87,1.0,512.61,3.0,,,341.74,2.0,,,,,,,341.74,2.0,,,512.61,3.0,,,512.61,3.0,,,683.48,4.0,,,512.61,3.0,,,341.74,2.0,,,,,,,512.61,3.0,341.74,2.0,,,,,1025.22,6.0,,,,,,,341.74,2.0,854.35,5.0,,,,,683.48,4.0,,,854.35,5.0,,,512.61,3.0,,,,,,,,,2.0,10.0
"AHOC, The Department of Anesthesiology",M03AC09,166497,Rocuronium Fresenius Kabi,10 mg/ml,"inj.-/inf.vsk.,opl.",10 x 5 ml,2021.7,23.0,,,87.9,1.0,,,263.7,3.0,,,87.9,1.0,175.8,2.0,,,,,,,,,,,439.5,5.0,,,,,,,,,,,,,,,,,,,175.8,2.0,,,,,,,175.8,2.0,,,,,,,,,,,,,,,,,,,175.8,2.0,,,,,,,87.9,1.0,,,,,175.8,2.0,,,87.9,1.0,,,,,87.9,1.0,,,,,,,5.0,10.0
"AHOC, The Department of Anesthesiology",M03AC09,871963,Rocuronium Bromide (ls),10 mg/ml,"inj.-/inf.vsk.,opl.",10 x 5 ml,351.6,4.0,,,,,,,,,,,,,,,,,,,351.6,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,10.0
"AHOC, The Department of Anesthesiology",M03AC11,150714,Nimbex,2 mg/ml,"inj.væske, opløsning",5 X 5 ML,5106.74,47.0,410.13,3.0,136.71,1.0,,,546.84,4.0,,,820.26,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,546.84,4.0,,,,,,,,,273.72,3.0,456.2,5.0,,,,,,,547.44,6.0,,,,,,,,,547.44,6.0,,,,,,,182.48,2.0,,,,,364.96,4.0,,,,,,,,,,,273.72,3.0,,,,,5.0,5.0
"AHOC, The Department of Anesthesiology",M03AC11,871961,Cisatracurio Hikma (ls),2 mg/ml,"inj.-/inf.vsk.,opl.",10 x 5 ml,2734.2,10.0,,,,,,,,,,,,,,,,,,,,,273.42,1.0,820.26,3.0,820.26,3.0,,,273.42,1.0,,,,,546.84,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,10.0
"AHOC, The Department of Anesthesiology",N01AH01,7007,Fentanyl Hameln,50 mikrogram/ml,"inj.væske, opløsning",10 x 2 ml,452.51,37.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.92,4.0,,,24.46,2.0,,,,,85.61,7.0,61.15,5.0,,,85.61,7.0,36.69,3.0,,,85.61,7.0,24.46,2.0,,,2.0,10.0
"AHOC, The Department of Anesthesiology",N01AH01,7016,Fentanyl Hameln,50 mikrogram/ml,"inj.væske, opløsning",10 x 10 ml,2417.6,40.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,120.88,2.0,181.32,3.0,,,120.88,2.0,,,241.76,4.0,,,,,,,,,,,241.76,4.0,,,181.32,3.0,,,181.32,3.0,,,181.32,3.0,,,120.88,2.0,,,181.32,3.0,,,,,181.32,3.0,181.32,3.0,,,,,302.2,5.0,,,10.0,10.0
"AHOC, The Department of Anesthesiology",N01AH01,71025,Fentanyl B. Braun,50 mikrogram/ml,"inj.væske, opløsning",10 x 2 ml,3224.25,165.0,88.41,7.0,50.52,4.0,50.52,4.0,63.15,5.0,,,164.19,13.0,37.89,3.0,,,88.41,7.0,50.52,4.0,,,101.04,8.0,25.26,2.0,,,63.15,5.0,113.67,9.0,50.52,4.0,50.6,2.0,,,151.8,6.0,101.2,4.0,101.2,4.0,126.5,5.0,202.4,8.0,101.2,4.0,75.9,3.0,151.8,6.0,101.2,4.0,177.1,7.0,,,,,126.5,5.0,101.2,4.0,,,,,126.5,5.0,151.8,6.0,50.6,2.0,101.2,4.0,,,126.5,5.0,151.8,6.0,,,,,,,,,,,,,,,,,,,,,2.0,10.0
"AHOC, The Department of Anesthesiology",N01AH01,71036,Fentanyl B. Braun,50 mikrogram/ml,"inj.væske, opløsning",10 x 10 ml,1796.55,29.0,,,123.9,2.0,61.95,1.0,123.9,2.0,,,123.9,2.0,,,247.8,4.0,,,247.8,4.0,,,123.9,2.0,185.85,3.0,,,,,185.85,3.0,123.9,2.0,,,,,247.8,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,10.0
"AHOC, The Department of Anesthesiology",N01AH02,438220,Alfentanil Kalceks,"0,5 mg/ml","inj.-/inf.vsk.,opl.",10 x 2 ml,857.7,10.0,,,,,,,85.77,1.0,,,,,171.54,2.0,,,,,,,85.77,1.0,,,,,,,,,85.77,1.0,,,,,,,,,,,,,,,,,,,,,,,,,343.08,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85.77,1.0,,,2.0,10.0
"AHOC, The Department of Anesthesiology",N01AH06,189021,Remifentanil Fresenius Kabi,1 mg,pulv.t.konc. inj/inf,5 stk.,2964.25,25.0,750.42,6.0,,,,,,,,,,,,,,,,,,,500.28,4.0,,,250.14,2.0,,,,,,,,,,,,,112.57,1.0,112.57,1.0,112.57,1.0,,,225.14,2.0,,,,,,,,,450.28,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,225.14,2.0,,,,,,,,,,,225.14,2.0,,,,,0.0,5.0
"AHOC, The Department of Anesthesiology",N01AH06,199661,Ultiva,5 mg,pulv.t.konc. inj/inf,5 stk.,3138.1,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3138.1,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,5.0
"AHOC, The Department of Anesthesiology",N01AH06,579308,Remifentanil Fresenius Kabi,5 mg,pulv.t.konc. inj/inf,5 stk.,117941.19,528.0,477.26,2.0,3102.19,13.0,3340.82,14.0,1909.04,8.0,1431.78,6.0,4772.6,20.0,2863.56,12.0,1193.15,5.0,2147.67,9.0,3818.08,16.0,1909.04,8.0,5249.86,22.0,1909.04,8.0,,,3818.08,16.0,4295.34,18.0,1294.08,6.0,2588.16,12.0,1725.44,8.0,1294.08,6.0,,,2588.16,12.0,2372.48,11.0,5176.32,24.0,2156.8,10.0,2156.8,10.0,1294.08,6.0,2588.16,12.0,,,1941.12,9.0,2156.8,10.0,1725.44,8.0,1725.44,8.0,1725.44,8.0,2156.8,10.0,2156.8,10.0,3019.52,14.0,1294.08,6.0,3882.24,18.0,2156.8,10.0,2156.8,10.0,2156.8,10.0,1078.4,5.0,3235.2,15.0,4313.6,20.0,2156.8,10.0,,,4313.6,20.0,2156.8,10.0,2156.8,10.0,1078.4,5.0,1725.44,8.0,0.0,5.0
"AHOC, The Department of Anesthesiology",N01AX10,21636,Propolipid,10 mg/ml,"inj.-/inf.vsk.,emul",10 x 100 ml,56129.15,305.0,920.15,5.0,1288.21,7.0,920.15,5.0,920.15,5.0,1472.24,8.0,1104.18,6.0,920.15,5.0,920.15,5.0,920.15,5.0,1656.27,9.0,1288.21,7.0,2944.48,16.0,368.06,2.0,368.06,2.0,1104.18,6.0,1104.18,6.0,736.12,4.0,1288.21,7.0,1472.24,8.0,736.12,4.0,920.15,5.0,1656.27,9.0,1288.21,7.0,1104.18,6.0,920.15,5.0,552.09,3.0,1840.3,10.0,920.15,5.0,,,1472.24,8.0,,,1104.18,6.0,920.15,5.0,1104.18,6.0,736.12,4.0,1472.24,8.0,736.12,4.0,1104.18,6.0,1104.18,6.0,2024.33,11.0,1288.21,7.0,1104.18,6.0,736.12,4.0,2760.45,15.0,552.09,3.0,1472.24,8.0,920.15,5.0,1288.21,7.0,920.15,5.0,920.15,5.0,736.12,4.0,,,100.0,10.0
"AHOC, The Department of Anesthesiology",N01AX10,21676,Propolipid,10 mg/ml,"inj.-/inf.vsk.,emul",10 x 50 ml,8696.7,90.0,,,,,483.15,5.0,386.52,4.0,386.52,4.0,193.26,2.0,386.52,4.0,193.26,2.0,579.78,6.0,676.41,7.0,289.89,3.0,966.3,10.0,289.89,3.0,,,,,483.15,5.0,193.26,2.0,676.41,7.0,579.78,6.0,193.26,2.0,386.52,4.0,579.78,6.0,289.89,3.0,483.15,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.0,10.0
"AHOC, The Department of Anesthesiology",N01AX10,161528,Propofol B. Braun,5 mg/ml,"inj.-/inf.vsk.,emul",5 x 20 ml,26266.5,117.0,224.5,1.0,449.0,2.0,898.0,4.0,,,898.0,4.0,898.0,4.0,,,449.0,2.0,,,1347.0,6.0,898.0,4.0,2245.0,10.0,,,,,898.0,4.0,,,,,1347.0,6.0,,,898.0,4.0,,,898.0,4.0,,,898.0,4.0,,,898.0,4.0,673.5,3.0,,,,,,,,,,,898.0,4.0,,,898.0,4.0,1347.0,6.0,,,898.0,4.0,898.0,4.0,1122.5,5.0,,,1122.5,5.0,,,898.0,4.0,,,2245.0,10.0,,,,,,,1122.5,5.0,,,,,20.0,5.0
"AHOC, The Department of Anesthesiology",N01AX10,454170,Profast,10 mg/ml,"inj.-/inf.vsk.,emul",50 ml,8417.94,914.0,460.5,50.0,92.1,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.84,4.0,368.4,40.0,322.35,35.0,460.5,50.0,,,276.3,30.0,184.2,20.0,184.2,20.0,184.2,20.0,506.55,55.0,276.3,30.0,368.4,40.0,276.3,30.0,294.72,32.0,276.3,30.0,138.15,15.0,349.98,38.0,276.3,30.0,276.3,30.0,598.65,65.0,460.5,50.0,414.45,45.0,276.3,30.0,368.4,40.0,184.2,20.0,138.15,15.0,276.3,30.0,92.1,10.0,50.0,1.0
"AHOC, The Department of Anesthesiology",N01AX14,35862,Esketamine Orifarm,25 mg/ml,"inj.-/inf.vsk.,opl.",10 x 2 ml,10057.6,80.0,,,,,,,754.32,6.0,,,628.6,5.0,,,502.88,4.0,,,,,251.44,2.0,1257.2,10.0,502.88,4.0,,,,,,,,,,,502.88,4.0,,,,,,,,,754.32,6.0,,,,,,,125.72,1.0,,,,,,,,,,,754.32,6.0,,,,,,,880.04,7.0,,,1005.76,8.0,,,,,,,,,,,377.16,3.0,502.88,4.0,,,,,754.32,6.0,,,502.88,4.0,2.0,10.0
"AHOC, The Department of Anesthesiology",N01BB01,123918,Marcain,"2,5 mg/ml","inj.væske, opløsning",5 x 20 ml,24573.0,188.0,531.06,3.0,708.08,4.0,531.06,3.0,1062.12,6.0,354.04,2.0,708.08,4.0,708.08,4.0,708.08,4.0,531.06,3.0,1062.12,6.0,708.08,4.0,354.04,2.0,1192.0,4.0,332.7,3.0,665.4,6.0,332.7,3.0,,,443.6,4.0,443.6,4.0,332.7,3.0,332.7,3.0,332.7,3.0,443.6,4.0,776.3,7.0,665.4,6.0,,,443.6,4.0,776.3,7.0,443.6,4.0,221.8,2.0,221.8,2.0,221.8,2.0,443.6,4.0,443.6,4.0,554.5,5.0,776.3,7.0,,,,,554.5,5.0,,,332.7,3.0,443.6,4.0,443.6,4.0,554.5,5.0,1109.0,10.0,776.3,7.0,,,776.3,7.0,443.6,4.0,332.7,3.0,,,,,20.0,5.0
"AHOC, The Department of Anesthesiology",N01BB01,748426,Bupivacain SAD,"2,5 mg/ml",injektionsvæske,10 ml amp x10,1192.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,596.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,596.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,10.0
"AHOC, The Department of Anesthesiology",N01BB02,437249,Xylocaine,10 mg/dosis,"kutanspray, opløsn.",50 ml,1789.21,19.0,,,,,,,188.38,2.0,,,,,94.19,1.0,,,,,,,94.19,1.0,282.57,3.0,,,,,,,,,,,188.38,2.0,,,188.3,2.0,,,,,,,188.3,2.0,94.15,1.0,94.15,1.0,,,,,,,,,,,,,,,,,,,94.15,1.0,,,94.15,1.0,,,,,,,,,,,188.3,2.0,,,,,,,,,,,,,,,,,50.0,1.0
"AHOC, The Department of Anesthesiology",N01BB02,443122,Xylocain,10 mg/ml,"inj.væske, opløsning",5 x 20 ml,482.7,10.0,,,54.22,1.0,,,,,,,,,,,,,54.22,1.0,,,,,,,54.22,1.0,,,,,,,,,,,91.44,2.0,,,,,,,,,,,,,,,,,91.44,2.0,,,45.72,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91.44,2.0,,,,,,,,,,,,,,,20.0,5.0
"AHOC, The Department of Anesthesiology",N01BB02,453053,Xylocain,2%,gel,30 g,511.63,14.0,,,,,,,,,37.63,1.0,,,37.63,1.0,37.63,1.0,,,,,,,,,,,,,,,,,,,,,,,36.06,1.0,,,72.12,2.0,,,,,,,,,36.32,1.0,108.96,3.0,,,,,,,,,,,,,,,,,,,,,36.32,1.0,,,,,,,,,,,36.32,1.0,72.64,2.0,,,,,,,,,,,,,30.0,1.0
"AHOC, The Department of Anesthesiology",N01BB02,518595,Xylocain ukonserveret,2%,gel,10 x 10 g,14044.08,77.0,,,,,,,366.08,2.0,549.12,3.0,,,366.08,2.0,,,732.16,4.0,915.2,5.0,,,549.12,3.0,,,,,366.08,2.0,549.12,3.0,549.12,3.0,546.12,3.0,,,364.08,2.0,546.12,3.0,,,1092.24,6.0,,,1092.24,6.0,546.12,3.0,,,,,,,,,,,,,728.16,4.0,546.12,3.0,546.12,3.0,,,364.08,2.0,1092.24,6.0,,,,,,,364.08,2.0,,,364.08,2.0,,,,,,,,,910.2,5.0,,,,,,,10.0,10.0
"AHOC, The Department of Anesthesiology",N01BB02,591418,Xylocain,20 mg/ml,"inj.væske, opløsning",5 x 20 ml,3921.37,79.0,,,,,54.84,1.0,109.68,2.0,109.68,2.0,,,109.68,2.0,,,,,164.52,3.0,109.68,2.0,164.52,3.0,109.68,2.0,,,164.52,3.0,47.84,1.0,47.84,1.0,143.52,3.0,143.52,3.0,47.84,1.0,95.68,2.0,143.52,3.0,47.84,1.0,143.52,3.0,95.68,2.0,,,95.68,2.0,191.36,4.0,,,,,,,,,,,,,95.68,2.0,95.68,2.0,239.2,5.0,95.68,2.0,,,,,143.52,3.0,239.2,5.0,,,191.36,4.0,,,143.52,3.0,,,,,191.36,4.0,,,145.53,3.0,,,20.0,5.0
"AHOC, The Department of Anesthesiology",N01BB02,721651,Lidokain steril,40 mg/ml,opløsning,10 x 10 ml,125.08,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,125.08,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,10.0
"AHOC, The Department of Anesthesiology",N01BB02,871110,OptiLube Active CHG Free,2%,gel,10 x 11 ml,1302.0,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,325.5,3.0,325.5,3.0,,,,,325.5,3.0,325.5,3.0,,,,,,,,,,,,,11.0,10.0
